Type,Title,URL,Description,Contributor Id,Image,Subsection,Access,Domain,Coverage
ðŸŸ¢ Dataset,Disaster Ninja,https://disaster.ninja/,"Disaster Ninja, is a geospatial tool for disaster management that visualizes recent natural disasters, mapping gaps, and contributor activity. It integrates datasets like population density and OpenStreetMap to help humanitarian organizations prioritize and coordinate mapping efforts.",Mouad Elhamdi,/assets/images/thumb/Disaster Ninja.jpg,Contexts (Population Data & Mobility),,,
ðŸŸ¢ Dataset,Spatiotemporal Datasets,https://github.com/benedekrozemberczki/spatiotemporal_datasets?tab=readme-ov-file,"This repository collects datasets for network science, deep learning, and general machine learning research. It includes data such as weekly chickenpox cases in Hungary and bicycle deliveries in London.",Mouad Elhamdi,/assets/images/thumb/Spatiotemporal Datasets.jpg,,,,
ðŸŸ¢ Dataset,Crimes in Vancouver,https://www.kaggle.com/datasets/wosaku/crime-in-vancouver,"Includes individual crime events with time (minute, hour, day, month, year) and latitude and longitude from 2003 to 2017 with 530 thousand records. The data was originally retrieved from city of Vancouver open data portal.",Sumantrak Mukherjee,https://dsa.dfki.de/author/sumantrak-mukherjee/crimes_in_vancouver.jpg,Events,,,
ðŸŸ¢ Dataset,New York City Shootings,https://www.kaggle.com/datasets/thaddeussegura/new-york-city-shooting-dataset,"This events dataset contains the date, longitude, and latitude for New York City shootings from 2006 to 2019 for around 22 thousand records, including relevant information about the incident, such as the shooter (age, gender, race). The data was originally retrieved from NYC OpenData.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/new_york_city_shootings.jpg,Events,,,
ðŸŸ¢ Dataset,USA Gun Violence,https://www.kaggle.com/datasets/emmanuelfwerr/gun-violence-incidents-in-the-usa,This events dataset contains the date and country-level locations from 2013 to 2022 for around 472 thousand records for gun violence incidents and mass shootings in the USA. This data was originally retrieved from the Gun Violence Archive organization.,Abdelrahman Ezzeldin Nagib,/assets/images/thumb/usa_gun_violence.jpg,Events,,,
ðŸŸ¢ Dataset,Armed Conflict Location and Event Dataset (ACLED),https://acleddata.com/data-export-tool/,"ACLED provides multiple event datasets for armed conflict dates, longitude, and latitude. It contains all events from around the world, such as conflicts in Central Africa, Brazil, and Pakistan. Free registration required.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/armed_conflict_location_and_event_dataset_(ACLED).jpg,Events,,,
ðŸŸ¢ Dataset,The Uppsala Conflict Data Program (UCDP),https://ucdp.uu.se/encyclopedia,"UCDP provides multiple event datasets for armed conflict dates, longitude, and latitude. (UCDP) provides data on organized violence with a history of almost 40 years. Freely available.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/uppsala_conflict_data_progam(UCDP).jpg,Events,,,
ðŸŸ¢ Dataset,Chicago Crimes,https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2/about_data,"This events dataset contains the Chicago crimes from 2001 to the present, except for the past 7 days, with date, longitude, and latitude. Freely available.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/chicago_crimes.jpg,Events,,,
ðŸŸ¢ Dataset,Correlates of War (COW),https://correlatesofwar.org/data-sets/,"The COW project provides event datasets for conflicts, wars, and more. It contains dates, longitude, and latitude. COW data spans several centuries. Freely available.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/correlates_of_war_(COW).jpg,Events,,,
ðŸŸ¢ Dataset,Social Conflict Analysis Database (SCAD),https://www.strausscenter.org/ccaps-research-areas/social-conflict/database/,"SCAD provides event datasets for protests, riots, and other social conflicts with date, longitude, and latitude from 1990 to 2017 covering all of Africa, Mexico, Central America, and the Caribbean. Freely available.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/Social Conflict Analysis Database (SCAD).jpg,Events,,,
ðŸŸ¢ Dataset,Humanitarian Data Exchange (HDX),https://data.humdata.org/,"HDX provides a wide range of humanitarian datasets with spatial and temporal information, including crisis data of varying historical depth. Most datasets are freely available, though some require access requests.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/humanitarian_data_exchange_(HDX).jpg,Events,,,
ðŸŸ¢ Dataset,Mass Mobilization in Autocracies Database (MMAD),https://mmadatabase.org/,MMAD provides event data on protests on a city-level location on a daily basis from 2003 to 2012. Freely available.,Abdelrahman Ezzeldin Nagib,/assets/images/thumb/mass_mobilization_in_autocracies_database_(MMAD).jpg,Events,,,
ðŸŸ¢ Dataset,Global Terrorism Database (GTD),http://apps.start.umd.edu/gtd/,GTD provides event datasets for terrorism with dates and city-level locations on terrorism from 1970 to 2020 with over 200 thousand records. Requires free registration.,Abdelrahman Ezzeldin Nagib,/assets/images/thumb/global_terrorism_database_(GTD).jpg,Events,,,
ðŸŸ¢ Dataset,Gun Violence Archive (GVA),https://www.gunviolencearchive.org/,"GVA provides event datasets for gun violence for the USA with dates, city-level locations, and addresses from 2013 to the present, and it is updated on a regular basis. Freely available.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/gun_violence_archive_(GVA).jpg,Events,,,
ðŸŸ¢ Dataset,Atlanta Police Department Crimes,https://opendata.atlantapd.org/,The Atlanta Police Department (APD) is an open data portal for crime events from 1997 to 2025 with timestamps and address-level locations. It contains historical crime data for the city of Atlanta. Freely available.,Abdelrahman Ezzeldin Nagib,/assets/images/thumb/atlanta_police_department_crimes.jpg,Events,,,
ðŸŸ¢ Dataset,911 Emergency Calls,https://www.kaggle.com/datasets/sachinpatil1280/911-emergency-calls?select=911.csv,"This events dataset contains the date, longitude, and latitude for 911 emergency calls from 2015 to 2016 for around 99 thousand records.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/911_emergency_calls.jpg,Events,,,
ðŸŸ¢ Dataset,NYC Complaints,https://data.cityofnewyork.us/Public-Safety/NYPD-Complaint-Data-Current-Year-To-Date-/5uac-w243/about_data,"This events dataset includes all crimes reported to the New York City Police Department (NYPD) by date, longitude, and latitude from 2016 to 2025. Freely available.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/nyc_complaints.jpg,Events,,,
ðŸŸ¢ Dataset,USA Traffic Congestion,https://www.kaggle.com/datasets/omosaad/events-dataset,"This dataset contains events of traffic congestion with the context of weather severity; it contains the date, longitude, and latitude from 2016 to 2021 for around 3 million records of traffic congestion in the USA, among relevant information such as the severity of the congestion.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/usa_traffic_congestion.jpg,Events,,,
ðŸŸ¢ Dataset,City Bike Trips,https://citibikenyc.com/system-data,"This events dataset includes records of city bike trips from 2013 to 2025, providing information on trip start and end times, as well as the corresponding longitude and latitude coordinates. Freely available.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/citi_bike_trips.jpg,Events,,,
ðŸŸ¢ Dataset,Motor Vehicle Collisions - Crashes,https://data.cityofnewyork.us/Public-Safety/Motor-Vehicle-Collisions-Crashes/h9gi-nx95/about_data,"Individual events with time, latitude, longitude and marks. Freely available.",Sumantrak Mukherjee,/assets/images/thumb/motor_vehicle_collisions_rashes.jpg,Events,,,
ðŸŸ¢ Dataset,World Airplane Crashes,https://www.kaggle.com/datasets/aiaiaidavid/airplane-crash-fatalities-since-1908-dv-03032020?select=Airplane_Crashes_and_Fatalities_Since_1908_DV_03032020.csv,"This events dataset contains the date and country-level locations of the incident for around 5 thousand records from 1908 to 2020, along with relevant information such as casualties and the operator (whether private or something else).",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/world_airplane_crashes.jpg,Events,,,
ðŸŸ¢ Dataset,World Earthquakes,https://www.kaggle.com/datasets/jahaidulislam/significant-earthquake-dataset-1900-2023,"This events dataset contains the date, longitude, and latitude from 1900 to 2023 for around 37 thousand records for the world-recorded earthquakes among relevant information related to the earthquake, such as the depth of the earthquake. This dataset contains nulls in some features but not in longitude, latitude, or date.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/world_earthquakes.jpg,Events,,,
ðŸŸ¢ Dataset,World Tsunamis,https://www.kaggle.com/datasets/harshalhonde/tsunami-events-dataset-1900-present,"This events dataset contains the date, longitude, and latitude from 1900 to 2023 for around 2 thousand records of tsunamis around the world. It also includes relevant information such as the magnitude of each event and the impact of the tsunami, such as the number of deaths and injuries.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/world_tsunamis.jpg,Events,,,
ðŸŸ¢ Dataset,Indonesia Volcanoes,https://www.kaggle.com/datasets/corneliuskristianto/volcano-events-in-indonesia-13002021,"This events dataset contains the date, longitude, and latitude from 1300 to 2021 for around 200 records of volcanoes in Indonesia among relevant information such as impacts like the number of houses destroyed.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/indonesia_volcanos.jpg,Events,,,
ðŸŸ¢ Dataset,World Natural Disasters,https://www.kaggle.com/datasets/brsdincer/all-natural-disasters-19002021-eosdis,"This events dataset contains dates, longitudes, and latitudes from 1900 to 2021 for around 16 thousand records of various types of natural disasters in the world, such as droughts, volcanoes, and earthquakes, among relevant information such as the number of people injured, total deaths, and damage costs.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/world_natural_disasters.jpg,Events,,,
ðŸŸ¢ Dataset,World Fireballs,https://www.kaggle.com/datasets/nasa/fireballs,"This events dataset contains the date, longitude, and latitude from 1988 to 2017 for around 800 records for exceptionally bright fireballs that are spectacular enough to be seen over a very wide area in the sky. Only the brightest fireballs are recorded.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/world_fireballs.jpg,Events,,,
ðŸŸ¢ Dataset,World Wildfires,https://www.kaggle.com/datasets/ransakaravihara/h2oai-wildfire-bushfire-challenge-dataset,"This events and context dataset contains date, longitude, and latitude from 2000 to 2020 for measuring the light brightness and whether a fire happened or not. Data originally retrieved from NASA's FIRM Earthdata. ",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/wolrd_wildfires.jpg,Events,,,
ðŸŸ¢ Dataset,Northern California Earthquake Data Center (NCEDC),https://ncedc.org/,"NCEDC provides dates, longitude, latitude, and other relevant information about the earthquake events in central and northern California. Some datasets may require special requests for access based on specific terms.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/northern_california_earthquake_data_center_(NCEDC).jpg,Events,,,
ðŸŸ¢ Dataset,United States Geological Survey (USGS),https://www.usgs.gov/,"The USGS provides information on natural hazard events that occur daily, such as earthquakes and volcanoes. Freely available.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/science_for_a_changing_world_(USGS).jpg,Events,,,
ðŸŸ¢ Dataset,USA Air Pollution,https://www.kaggle.com/datasets/guslovesmath/us-pollution-data-200-to-2022,"This context dataset contains date, country-level locations from 2000 to 2023 for around 650 thousand records for the air quality in the United States based on pollutants such as carbon monoxide (CO), ozone (Oâ‚ƒ), and others.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/usa_air_pollution.jpg,Contexts (Environment & Climate),,,
ðŸŸ¢ Dataset,USA Population,https://www.kaggle.com/datasets/mohamedmagdy11/usa-county-population-total-20162021,the data was originally retrieved from the U.S. Environmental Protection Agency (EPA).,Abdelrahman Ezzeldin Nagib,/assets/images/thumb/usa_population.jpg,Events,,,
ðŸŸ¢ Dataset,Global Suicide Rates,https://www.kaggle.com/datasets/mexwell/global-suicide-rates,This context dataset contains year- and country-level location data from 2000 to 2015 for the rates of suicide around the globe. The dataset was originally retrieved from the World Health Organization (WHO).,Abdelrahman Ezzeldin Nagib,/assets/images/thumb/global_suicide_rates.jpg,Contexts (Misc Data & APIs),,,
ðŸŸ¢ Dataset,Google Health COVID-19 Open Data Repository,https://health.google.com/covid-19/open-data/raw-data,The Google Health COVID-19 Open Data Repository is a comprehensive collection of up-to-date COVID-19-related information.,Abdelrahman Ezzeldin Nagib,/assets/images/thumb/google_health.jpg,Events,,,
ðŸŸ¢ Dataset,USA COVID-19,https://github.com/nytimes/covid-19-data,"Contains the COVID-19 events in the USA with date, cases, and deaths on a country-level location from 2020 to 2023.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/USA_COVID_19.jpg,Contexts (Misc Data & APIs),,,
ðŸŸ¢ Dataset,UK Biobank,https://www.ukbiobank.ac.uk/,"The UK Biobank is a comprehensive biomedical research resource containing health information from 500,000 participants. Requires a special request per dataset and is typically granted to approved researchers after an application and approval process.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/uk_biobank.jpg,Events,,,
ðŸŸ¢ Dataset,Environmental Protection Agency (EPA),https://www.epa.gov/,"The Environmental Protection Agency (EPA) provides context data related to environmental protection and public health. Key datasets cover areas such as air quality, water quality with geospatial information available, and pollution monitoring. Freely available.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/environmental_protection_agency_(EPA).jpg,Contexts (Environment & Climate),,,
ðŸŸ¢ Dataset,Open Meteo API,https://tinyurl.com/322bve8j,"The Open-Meteo platform provides a comprehensive Historical Weather API that offers access to a vast amount of meteorological data. Some key features: temperature, relative humidity, cloud cover, and wind speed.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/open_meteo.jpg,Contexts (Environment & Climate),,,
ðŸŸ¢ Dataset,NASA Open Data Portal,https://data.nasa.gov/browse?sortBy=newest&pageSize=20&page=1,"The NASA Open Data Portal is a comprehensive resource that provides access to various events and potential context datasets, such as oceanography datasets and more with dates, longitudes, and latitudes. Freely available.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/nasa_open_data_portal.jpg,Contexts (Misc Data & APIs),,,
ðŸŸ¢ Dataset,Global Human Settlement Layer (GHSL),https://human-settlement.emergency.copernicus.eu/,"GHSL provides open and free context data for assessing human presence on Earth, such as built-up surface data, population data, and temporal data with date, longitude, and latitude. Freely available.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/global_human_settlment_layer_(GHSL).jpg,Contexts (Population Data & Mobility),,,
ðŸŸ¢ Dataset,Food and Agriculture Organization of the United Nations (FAO),https://www.fao.org/faostat/en/#data,"FAO offers comprehensive context data on food and agriculture spanning over 245 countries and territories, from 1961 to the most recent year available; it includes date, longitude, and latitude. Some datasets may require free registration for access to specific tools or services. Some datasets may require free registration for access to specific tools or services.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/food_and_agriculture_organization_of_the_united_nations_(FAO).jpg,Contexts (Environment & Climate),,,
ðŸŸ¢ Dataset,Global Animal Disease Information System,https://empres-i.apps.fao.org/general,"Supports access to global disease information in time, longitude, and latitude coordinates for high-impact animal diseases. Requires free registration.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/global_animal_disease_information_system.jpg,Events,,,
ðŸŸ¢ Dataset,United States Large-Scale Solar Photovoltaic Database (USPVDB),https://www.nrel.gov/pv/us-pv-database.html,"USPVDB provides context datasets on the performance of large-scale solar photovoltaic systems across the U.S. with dates, longitude, and latitude. Requires a special request per dataset for access.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/united_states_large_scale_solar_photovoltaic_database_(USPVDB).jpg,Contexts (Environment & Climate),,,
ðŸŸ¢ Dataset,Google Earth Engine API,https://developers.google.com/earth-engine/reference/rest,Google Earth Engine provides a context dataset for planet Earth (climate and weather) with longitude and latitude that goes back as early as 1979 and is updated on a daily basis. Freely available and may need free registration.,Abdelrahman Ezzeldin Nagib,/assets/images/thumb/google_earth_engine.jpg,Contexts (Misc Data & APIs),,,
ðŸŸ¢ Dataset,Spectus,https://docs.spectus.ai/,The Spectus API provides context data for human mobility analytics with longitude and latitude and density measurements. It dates from 2019 and provides real-time data.  Subscription payments are required.,Abdelrahman Ezzeldin Nagib,/assets/images/thumb/spectus.jpg,Contexts (Population Data & Mobility),,,
ðŸŸ¢ Dataset,"Global Database of Events, Language, and Tone (GDELT)",https://www.gdeltproject.org/,GDELT provides world data with longitudes and latitudes and dates on events such as protests and violent attacks with context data such as people's emotions from the news. It has historical data dating to 1971 and efforts to further extend it further back to 1800. It gets updated every 15 minutes. Freely available.,Abdelrahman Ezzeldin Nagib,/assets/images/thumb/global_database_of_events_language_and_tone_(gdelt).jpg,Events,,,
ðŸŸ¢ Dataset,planet.com,https://www.planet.com/,"Planet.com provides daily satellite earth data analytics with 200 satellites; they provide longitude, latitude, and dates and measurements for different planetary variables (soil water, land surface temperature, forest carbon), and it is updated daily. Payments required.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/planet_com.jpg,Contexts (Environment & Climate),,,
ðŸŸ¢ Dataset,Google Maps Platform,https://mapsplatform.google.com/?utm_experiment=13102196,"Google Maps Platform provides a context dataset for planet Earth (air quality, for example) with longitude and latitude and is regularly updated. Possible payments required.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/google_maps.jpg,Contexts (Environment & Climate),,,
ðŸŸ¢ Dataset, Here Maps,https://www.here.com/,"Here Maps provides world data with longitudes and latitudes and dates for real-time traffic data, including flow, incidents, and congestion details. It gets updated regularly. Requires an API key and offers to get started for free, with usage-based pricing as needs grow.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/here_maps.jpg,Contexts (Misc Data & APIs),,,
ðŸŸ¢ Dataset,Environmental Systems Research Institute (ESRI) Demographics,https://www.esri.com/en-us/arcgis/products/data/data-portfolio/demographics,"Esri offers a vast collection of datasets from population count, income per capita, and more. It contains dates, longitude, and latitude, with dates going back 5 years and more. The date update frequency varies from 1 dataset to another. It requires a subscription or purchase.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/esri_demographics.jpg,Contexts (Population Data & Mobility),,,
ðŸŸ¢ Dataset,United Nations High Commissioner for Refugees (UNHCR),https://www.unhcr.org/,"UNHCR provides data for resettlement statistics, population statistics, and refugee statistics through their APIs.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/un_refugee.jpg,Contexts (Population Data & Mobility),,,
ðŸŸ¢ Dataset,Beijing Traffic,https://github.com/deepkashiwa20/Urban_Concept_Drift/tree/main,This dataset contains traffic speeds at 5-minute granularity for 3126 roadway segments in Beijing between 2022/05/12 and 2022/07/25 and contains 3126 streets.,Abdelrahman Ezzeldin Nagib,/assets/images/thumb/beijing_traffic.jpg,Events,,,
ðŸŸ¢ Dataset,Beijing Air Quality,https://www.kaggle.com/datasets/sid321axn/beijing-multisite-airquality-data-set,This dataset contains the air quality in Beijing from 12 different country-level locations with dates from 2013 to 2017. It contains measurements for air quality such as COâ‚‚ and Oâ‚ƒ. The data was originally retrieved from the UCI Machine Learning Repository.,Abdelrahman Ezzeldin Nagib,/assets/images/thumb/beijing_air_pollution.jpg,Contexts (Environment & Climate),,,
ðŸŸ¢ Dataset,U.S. Water Quality Portal (WQP),https://www.usgs.gov/media/images/water-quality-portal-new,"A large repository integrating water quality monitoring data. The WQP provides access to millions of records on parameters like pH, dissolved oxygen, temperature, salinity, nutrients, and contaminant levels across the United States from 1950 to the present and is continually updated. Freely available.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/Water Quality Portal (WQP).jpg,Contexts (Environment & Climate),,,
ðŸŸ¢ Dataset,European Environment Agency (EEA) Waterbase,https://surl.gd/usolve,"The European Environment Agencyâ€™s Waterbase is an open database on the status and quality of Europeâ€™s water. It contains data for rivers, lakes, groundwater, and coastal waters on metrics such as nutrients (nitrogen, phosphorus) across European monitoring stations. Freely available.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/EEA European Water Quality Portal (WQP).jpg,Contexts (Environment & Climate),,,
ðŸŸ¢ Dataset,Mussel Watch,coastalscience.noaa.gov ,"Mussel Watch is a biomonitoring program that tracks nearly 600 chemical contaminants, including heavy metals, chlorinated pesticides (like DDT), PAHs, and emerging contaminants. Data collected from 1986 to the present. Freely available.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/mussel.jpg,Contexts (Environment & Climate),,,
ðŸŸ¢ Dataset,SatBird: Bird Species Distribution Modeling,https://neurips.cc/virtual/2023/poster/73571,SatBird is a dataset for modeling bird species distributions using satellite imagery and citizen science data (from eBird). It includes more than 2 million observations and multispectral data for 214 bird species across the U.S.,Mouad Elhamdi,/assets/images/thumb/satbird.jpg,Contexts (Environment & Climate),,,
ðŸŸ¢ Dataset,Toxics Release Inventory (TRI),https://catalog.data.gov/dataset/toxics-release-inventory-tri,The Toxics Release Inventory (TRI) tracks the management of certain toxic chemicals that may pose a threat to human health and the environment. It includes annual data reported by U.S. facilities since 1987.,Mouad Elhamdi,/assets/images/thumb/TRI.jpg,Contexts (Environment & Climate),,,
ðŸŸ¢ Dataset,ECOTOX Knowledgebase,https://www.epa.gov/comptox-tools/ecotoxicology-ecotox-knowledgebase-resource-hub,"The ECOTOX Knowledgebase provides single chemical environmental toxicity data for aquatic and terrestrial species. It includes data for over 12,000 chemicals and 13,000 species across hundreds of thousands of tests.",Mouad Elhamdi,/assets/images/thumb/ecotox.jpg,Contexts (Environment & Climate),,,
ðŸŸ¢ Dataset,Information Platform for Chemical Monitoring (IPCheM),https://ipchem.jrc.ec.europa.eu,"IPCheM is the European Commissionâ€™s central access point for chemical monitoring data collected across Europe in air, water, soil, biota, and indoor environments. Supports chemical risk assessment and policy-making.",Mouad Elhamdi,/assets/images/thumb/ipchem.jpg,Contexts (Environment & Climate),,,
ðŸŸ¢ Dataset,National Aquatic Resource Survey - Rivers and Streams,https://catalog.data.gov/dataset/national-aquatic-resource-survey-rivers-and-streams-data,"This dataset from the U.S. EPA provides condition assessments of over 1,000 rivers and streams in the lower 48 U.S. states using biological, chemical, and physical indicators. Part of the National Aquatic Resource Surveys.",Mouad Elhamdi,/assets/images/thumb/nars.jpg,Contexts (Environment & Climate),,,
ðŸŸ¢ Dataset,Germany Population Data (Zensus 2022),https://atlas.zensus2022.de/,"Population dataset from the German Federal Statistical Office (Destatis), based on the Zensus 2022. Offers detailed demographic distributions by region, gender, and age groups across Germany.",Mouad Elhamdi,/assets/images/thumb/germany-population.jpg,Contexts (Population Data & Mobility),,,
ðŸŸ¢ Dataset,KidSat: Satellite Imagery for Childhood Poverty,https://arxiv.org/pdf/2407.05986,"KidSat is a benchmark dataset for mapping childhood poverty using satellite imagery. It links high-resolution visual data with poverty labels across Africa and Latin America, enabling fair benchmarking for ML models.",Mouad Elhamdi,/assets/images/thumb/kidsat.jpg,Contexts (Misc Data & APIs),,,
ðŸŸ¢ Dataset,MOSAICs: Machine Learning for Satellite Imagery,https://www.mosaiks.org/,"MOSAICs provides preprocessed satellite imagery and feature embeddings designed for machine learning applications. It allows scalable learning with satellite data, especially for environmental, socio-economic, and infrastructure-related tasks across geographies.",Mouad Elhamdi,/assets/images/thumb/mosaiks.jpg,Contexts (Misc Data & APIs),,,
ðŸŸ¢ Dataset,Awesome Spatial Datasets,https://www.spatialedge.co/p/awesome-datasets,"This curated collection provides links to high-quality spatial datasets from urban planning, transportation, demography, and environmental monitoring. Itâ€™s a valuable resource for geospatial data scientists seeking open access datasets across domains.",Mouad Elhamdi,/assets/images/thumb/awesome_spatial.jpg,Contexts (Misc Data & APIs),,,
ðŸŸ¢ Dataset,Gallup World Poll Public Datasets,https://www.gallup.com/analytics/318923/world-poll-public-datasets.aspx,"Gallup World Poll offers cross-national survey data on public opinion, well-being, economics, and health. The public datasets support comparative research across more than 160 countries, making them valuable for global development and policy analysis.",Mouad Elhamdi,/assets/images/thumb/gallup_world_poll.jpg,Contexts (Misc Data & APIs),,,
ðŸŸ¢ Dataset,CDC Foodborne Outbreak Data (BEAM),https://www.cdc.gov/ncezid/dfwed/beam-dashboard.html,"The CDCâ€™s BEAM Dashboard provides curated data on foodborne disease outbreaks across the United States. It includes temporal and spatial details of outbreaks, pathogen types, and affected demographics, supporting public health and epidemiological research.",Mouad Elhamdi,/assets/images/thumb/cdc_beam.jpg,Contexts (Misc Data & APIs),,,
ðŸŸ¢ Dataset,Meta on Humanitarian Data Exchange (HDX),https://data.humdata.org/organization/meta,"Metaâ€™s HDX profile offers curated datasets that support humanitarian and development efforts globally. These datasets cover topics such as population movements, digital connectivity, and global crises, enabling data-driven decision-making in policy, health, and disaster response.",Mouad Elhamdi,/assets/images/thumb/meta_hdx.jpg,Contexts (Misc Data & APIs),,,
ðŸŸ¢ Dataset,WorldPop Demographic Mapping,https://hub.worldpop.org/project/categories?id=14,"WorldPop provides high-resolution, open-access population data to support research and policy in low- and middle-income countries. The datasets cover age structure, population density, health metrics, and urbanization trends, all mapped at fine spatial scales. This demographic data is vital for development planning, humanitarian response, and epidemiological modeling.",Mouad Elhamdi,/assets/images/thumb/worldpop.jpg,,,,
ðŸŸ¢ Dataset,Our World in Data,https://ourworldindata.org/,"Our World in Data is an open-access data and research platform that explores the worldâ€™s largest problems through empirical evidence. It provides interactive charts, extensive datasets, and in-depth articles on topics such as global health, poverty, education, climate change, energy, and economic development.",Mouad Elhamdi,/assets/images/thumb/OurWorldinData.jpg,Contexts (Misc Data & APIs),,,
